timestep,mean_reward_last_100,mean_episode_length_last_100
1000,0.29787233,10.595744680851064
2000,0.31,10.66
3000,0.34,11.17
4000,0.26,9.72
5000,0.25,9.81
6000,0.26,9.9
7000,0.32,10.74
8000,0.32,10.51
9000,0.34,10.82
10000,0.39,11.46
11000,0.42,11.91
12000,0.29,10.32
13000,0.26,9.87
14000,0.29,10.6
15000,0.29,10.4
16000,0.34,11.07
17000,0.36,11.12
18000,0.34,11.0
19000,0.34,10.64
20000,0.4,11.85
21000,0.38,11.58
22000,0.31,10.94
23000,0.26,9.86
24000,0.38,11.45
25000,0.32,10.75
26000,0.32,10.76
27000,0.17,8.6
28000,0.28,10.15
29000,0.35,10.74
30000,0.42,12.04
31000,0.3,10.23
32000,0.24,9.69
33000,0.34,10.87
34000,0.39,11.85
35000,0.23,9.53
36000,0.27,9.96
37000,0.37,11.2
38000,0.28,10.18
39000,0.27,9.78
40000,0.36,11.34
41000,0.33,11.0
42000,0.29,10.11
43000,0.36,11.27
44000,0.24,9.57
45000,0.3,10.49
46000,0.25,9.7
47000,0.29,10.18
48000,0.35,10.7
49000,0.24,9.59
50000,0.18,8.9
51000,0.32,10.7
52000,0.5,13.24
53000,0.38,11.2
54000,0.26,9.46
55000,0.29,10.22
56000,0.32,10.48
57000,0.32,10.66
58000,0.26,9.55
59000,0.36,10.99
60000,0.31,10.38
61000,0.28,10.08
62000,0.41,11.88
63000,0.38,11.36
64000,0.38,11.16
65000,0.32,10.41
66000,0.32,10.35
67000,0.32,10.38
68000,0.39,11.2
69000,0.47,12.54
70000,0.3,10.49
71000,0.43,11.98
72000,0.34,10.37
73000,0.43,11.6
74000,0.69,15.16
75000,0.51,12.82
76000,0.52,12.94
77000,0.45,12.1
78000,0.62,14.24
79000,0.62,14.36
80000,0.55,13.65
81000,0.53,12.96
82000,0.38,11.39
83000,0.59,13.95
84000,0.68,14.76
85000,0.7,15.11
86000,0.78,16.45
87000,0.78,16.13
88000,0.64,14.61
89000,0.75,16.03
90000,0.86,17.45
91000,0.88,17.56
92000,0.75,15.84
93000,0.87,17.73
94000,0.82,16.72
95000,0.69,15.04
96000,0.78,16.25
97000,0.87,17.73
98000,0.88,17.48
99000,0.88,17.38
100000,0.85,17.03
101000,0.88,17.39
102000,1.02,18.95
103000,1.1,20.04
104000,1.05,20.07
105000,0.93,18.53
106000,0.99,18.8
107000,1.0,18.77
108000,1.0,18.97
109000,1.14,20.67
110000,0.96,17.96
111000,0.94,17.84
112000,1.03,19.03
113000,1.11,19.99
114000,1.11,20.01
115000,1.03,18.28
116000,0.95,17.43
117000,1.05,18.97
118000,1.08,19.35
119000,1.03,19.09
120000,1.09,19.91
121000,1.16,20.92
122000,1.07,19.19
123000,0.8,15.76
124000,0.97,17.82
125000,1.06,19.33
126000,1.15,20.76
127000,1.24,21.43
128000,1.07,19.27
129000,1.0,18.28
130000,1.05,18.81
131000,1.22,21.48
132000,1.29,22.26
133000,1.19,20.84
134000,1.12,20.22
135000,1.08,19.88
136000,1.1,19.61
137000,1.17,20.47
138000,1.28,22.07
139000,1.36,23.33
140000,1.18,20.86
141000,1.17,20.68
142000,1.19,20.93
143000,1.21,21.36
144000,1.19,21.35
145000,1.25,21.59
146000,1.38,23.25
147000,1.19,21.1
148000,1.13,20.16
149000,1.17,20.7
150000,1.2,20.95
151000,1.23,21.22
152000,1.33,22.48
153000,1.29,22.09
154000,1.12,20.36
155000,1.12,20.22
156000,1.2,20.68
157000,1.11,19.64
158000,1.11,20.16
159000,1.25,22.36
160000,1.32,23.12
161000,1.44,24.03
162000,1.48,24.15
163000,1.33,22.41
164000,1.44,23.96
165000,1.42,23.7
166000,1.44,23.85
167000,1.38,23.42
168000,1.28,22.44
169000,1.31,22.3
170000,1.26,21.48
171000,1.24,21.1
172000,1.22,21.34
173000,1.28,22.09
174000,1.37,23.19
175000,1.45,24.2
176000,1.54,25.66
177000,1.43,23.75
178000,1.4,23.34
179000,1.37,23.45
180000,1.39,23.62
181000,1.22,21.46
182000,1.03,18.89
183000,1.02,18.31
184000,1.19,20.45
185000,1.44,23.51
186000,1.3,21.9
187000,1.2,20.46
188000,1.26,21.05
189000,1.43,23.37
190000,1.32,22.52
191000,1.29,22.14
192000,1.5,24.76
193000,1.54,25.07
194000,1.35,22.85
195000,1.26,21.42
196000,1.29,21.94
197000,1.36,23.1
198000,1.16,21.04
199000,1.15,21.18
200000,1.17,20.88
201000,1.4,23.4
202000,1.52,24.68
203000,1.56,25.06
204000,1.55,25.05
205000,1.54,25.01
206000,1.61,26.09
207000,1.35,22.94
208000,1.37,22.95
209000,1.48,24.2
210000,1.36,22.74
211000,1.3,21.81
212000,1.27,21.55
213000,1.35,22.76
214000,1.23,21.59
215000,1.24,21.62
216000,1.25,21.52
217000,1.22,21.3
218000,1.36,23.12
219000,1.31,22.4
220000,1.32,22.84
221000,1.38,23.21
222000,1.53,25.01
223000,1.53,24.75
224000,1.51,24.91
225000,1.45,24.51
226000,1.47,24.64
227000,1.29,22.35
228000,1.31,22.63
229000,1.42,23.86
230000,1.43,24.21
231000,1.23,21.58
232000,1.32,23.07
233000,1.46,24.53
234000,1.51,25.23
235000,1.61,26.62
236000,1.54,25.38
237000,1.43,23.72
238000,1.48,23.92
239000,1.44,23.66
240000,1.53,24.96
241000,1.45,24.31
242000,1.35,22.91
243000,1.28,22.09
244000,1.29,22.48
245000,1.53,25.38
246000,1.63,26.5
247000,1.55,25.37
248000,1.41,23.55
249000,1.34,22.57
250000,1.45,24.04
251000,1.49,24.75
252000,1.57,25.44
253000,1.37,22.96
254000,1.32,22.59
255000,1.38,23.54
256000,1.57,25.93
257000,1.67,27.03
258000,1.67,26.8
259000,1.61,26.25
260000,1.58,26.2
261000,1.6,26.44
262000,1.55,25.82
263000,1.5,24.68
264000,1.46,24.13
265000,1.5,24.62
266000,1.81,28.2
267000,1.74,27.7
268000,1.52,25.23
269000,1.6,26.35
270000,1.4,23.86
271000,1.47,24.52
272000,1.44,23.92
273000,1.52,25.01
274000,1.51,25.14
275000,1.36,23.89
276000,1.44,24.6
277000,1.51,25.2
278000,1.57,25.55
279000,1.45,24.06
280000,1.4,23.78
281000,1.61,26.19
282000,1.6,26.39
283000,1.57,25.85
284000,1.69,27.04
285000,1.55,24.88
286000,1.52,25.33
287000,1.52,25.6
288000,1.43,23.76
289000,1.45,24.15
290000,1.67,26.57
291000,1.55,24.78
292000,1.57,25.21
293000,1.5,24.99
294000,1.47,24.82
295000,1.32,22.33
296000,1.36,22.79
297000,1.52,24.74
298000,1.69,27.31
299000,1.77,28.41
300000,1.58,26.25
301000,1.66,27.03
302000,1.83,25.87
303000,1.9,26.0
304000,1.53,24.85
305000,1.58,25.55
306000,1.56,25.62
307000,1.57,25.88
308000,1.53,25.65
309000,1.46,24.69
310000,1.47,24.61
311000,1.58,25.63
312000,1.68,27.25
313000,1.61,26.23
314000,1.59,25.86
315000,1.63,26.45
316000,1.78,28.12
317000,1.81,28.51
318000,1.54,25.27
319000,1.41,23.59
320000,1.54,25.44
321000,1.67,27.26
322000,1.6,26.22
323000,1.61,26.41
324000,1.56,25.96
325000,1.63,26.73
326000,1.72,27.79
327000,1.78,28.42
328000,1.8,28.35
329000,1.69,26.67
330000,1.64,26.38
331000,1.61,26.67
332000,1.68,27.44
333000,1.6,25.78
334000,1.7,26.81
335000,1.74,27.27
336000,1.79,27.7
337000,1.66,26.5
338000,1.62,25.95
339000,1.52,25.34
340000,1.49,24.76
341000,1.4,24.1
342000,1.42,24.19
343000,1.53,25.57
344000,1.69,27.11
345000,1.77,27.66
346000,1.67,26.37
347000,1.62,26.27
348000,1.72,27.78
349000,1.64,26.78
350000,1.6,26.28
351000,1.58,25.88
352000,1.52,25.11
353000,1.71,27.42
354000,1.55,26.38
355000,1.5,24.97
356000,1.59,26.11
357000,1.68,26.55
358000,1.74,27.36
359000,1.64,26.01
360000,1.64,26.38
361000,1.59,26.12
362000,1.63,26.5
363000,1.57,25.82
364000,1.6,26.55
365000,1.6,26.6
366000,1.72,27.32
367000,1.83,28.62
368000,1.88,28.73
369000,1.74,26.99
370000,1.79,27.29
371000,1.73,27.01
372000,1.83,28.39
373000,1.81,28.61
374000,1.97,30.61
375000,1.84,28.79
376000,1.66,26.36
377000,1.59,25.31
378000,1.65,26.69
379000,1.7,27.48
380000,1.57,26.0
381000,1.49,24.91
382000,1.6,26.1
383000,1.46,23.83
384000,1.66,26.06
385000,1.76,27.37
386000,1.91,29.84
387000,1.95,30.48
388000,1.91,30.0
389000,1.94,30.35
390000,1.84,29.5
391000,1.91,30.48
392000,1.94,30.9
393000,2.06,32.14
394000,1.94,30.33
395000,1.83,28.98
396000,1.63,26.59
397000,1.53,25.2
398000,1.39,23.21
399000,1.44,24.07
400000,1.48,24.81
401000,1.58,26.39
402000,1.53,25.4
403000,1.65,26.97
404000,1.73,27.82
405000,1.77,28.92
406000,1.76,28.41
407000,1.77,28.29
408000,1.95,30.02
409000,1.92,29.68
410000,1.95,30.11
411000,1.76,28.09
412000,1.86,28.95
413000,1.71,27.22
414000,1.88,28.99
415000,1.92,29.7
416000,1.97,30.24
417000,1.76,28.59
418000,1.58,26.52
419000,1.67,27.39
420000,1.58,25.82
421000,1.68,26.33
422000,1.8,28.11
423000,2.07,31.15
424000,1.8,28.32
425000,1.68,26.85
426000,1.71,27.41
427000,1.88,29.54
428000,2.08,32.16
429000,1.9,29.74
430000,1.87,29.32
431000,1.74,27.37
432000,1.78,27.69
433000,1.8,28.07
434000,1.9,29.86
435000,1.89,29.62
436000,2.02,31.24
437000,1.9,29.63
438000,1.9,30.18
439000,1.86,29.63
440000,1.94,29.81
441000,1.84,28.55
442000,1.68,26.61
443000,1.62,26.8
444000,1.76,28.42
445000,1.78,28.96
446000,1.87,30.08
447000,1.81,29.23
448000,1.85,29.91
449000,1.83,29.71
450000,1.8,29.37
451000,1.84,29.75
452000,1.78,28.95
453000,1.9,29.88
454000,2.01,30.75
455000,2.19,32.48
456000,2.16,32.69
457000,2.05,31.87
458000,1.8,28.87
459000,1.74,27.67
460000,1.69,27.38
461000,1.75,28.41
462000,1.79,28.86
463000,1.87,29.6
464000,1.82,29.11
465000,1.87,29.73
466000,1.79,28.23
467000,1.61,25.78
468000,1.6,26.05
469000,1.67,27.15
470000,1.9,30.1
471000,1.9,29.77
472000,1.96,30.68
473000,1.82,28.83
474000,1.9,29.82
475000,1.87,29.56
476000,1.82,29.05
477000,1.83,29.21
478000,1.87,29.27
479000,1.91,30.19
480000,1.87,29.81
481000,1.91,30.09
482000,1.87,29.14
483000,1.93,30.28
484000,1.83,29.25
485000,2.0,31.17
486000,1.91,29.59
487000,2.0,30.56
488000,1.84,29.38
489000,1.88,30.14
490000,1.9,30.33
491000,1.96,30.69
492000,2.04,31.68
493000,1.91,30.34
494000,1.88,30.21
495000,1.78,28.85
496000,1.9,30.19
497000,1.93,30.17
498000,2.05,31.58
499000,1.97,30.3
500000,1.85,28.58
501000,1.92,29.66
502000,1.8,28.62
503000,1.97,31.22
504000,1.8,28.56
505000,1.98,30.67
506000,1.93,30.23
507000,1.89,29.9
508000,1.82,29.75
509000,1.77,29.09
510000,1.72,28.07
511000,1.82,28.7
512000,1.91,28.98
513000,2.04,31.07
514000,2.01,30.63
515000,1.95,30.42
516000,1.97,30.11
517000,2.15,32.65
518000,2.15,32.75
519000,2.08,32.24
520000,1.95,30.86
521000,2.08,32.22
522000,1.93,30.13
523000,1.97,30.53
524000,1.89,29.47
525000,1.92,30.1
526000,1.96,30.18
527000,1.94,29.93
528000,2.04,30.97
529000,1.9,29.6
530000,2.04,31.09
531000,2.13,32.03
532000,2.04,31.27
533000,1.94,30.33
534000,1.76,28.41
535000,1.9,30.0
536000,1.97,30.55
537000,2.02,30.71
538000,2.01,30.59
539000,1.9,29.38
540000,1.92,29.92
541000,1.87,29.24
542000,1.9,29.22
543000,1.85,28.33
544000,1.92,28.92
545000,2.01,30.39
546000,2.04,31.2
547000,2.02,31.69
548000,2.12,33.01
549000,2.11,33.7
550000,1.98,31.14
551000,1.9,30.22
552000,1.94,30.02
553000,1.95,30.5
554000,1.85,29.58
555000,1.87,30.11
556000,1.97,31.73
557000,2.13,32.98
558000,2.01,30.71
559000,1.75,27.28
560000,1.7,26.69
561000,1.94,29.74
562000,2.03,31.01
563000,2.05,31.8
564000,2.14,32.94
565000,2.07,32.5
566000,2.0,31.41
567000,1.88,29.88
568000,1.94,30.28
569000,1.93,30.45
570000,1.75,27.83
571000,1.82,28.64
572000,1.81,28.68
573000,2.11,32.64
574000,1.96,30.9
575000,1.92,30.37
576000,1.79,28.7
577000,1.89,29.94
578000,2.03,31.65
579000,2.11,32.11
580000,2.16,32.13
581000,2.01,30.11
582000,1.68,26.4
583000,1.61,25.95
584000,1.72,27.32
585000,1.99,30.98
586000,2.14,32.83
587000,2.11,33.01
588000,2.1,33.05
589000,2.07,32.24
590000,1.96,30.04
591000,1.89,29.49
592000,1.89,29.53
593000,1.86,28.97
594000,1.84,28.36
595000,1.93,30.18
596000,2.0,31.06
597000,1.89,29.82
598000,1.82,28.47
599000,1.99,31.15
600000,2.13,32.37
601000,2.3,34.68
602000,2.15,32.64
603000,2.16,33.02
604000,2.27,34.38
605000,2.0,30.88
606000,1.98,30.7
607000,1.86,29.01
608000,1.94,30.46
609000,2.01,31.18
610000,1.88,29.88
611000,2.06,32.15
612000,2.06,31.66
613000,2.2,32.6
614000,2.25,32.99
615000,2.09,31.19
616000,1.83,28.61
617000,1.81,28.45
618000,1.94,30.25
619000,2.05,31.73
620000,2.13,32.82
621000,2.08,32.09
622000,2.2,33.24
623000,2.2,33.27
624000,2.03,31.46
625000,1.89,29.9
626000,1.78,28.42
627000,1.89,29.65
628000,2.01,30.79
629000,2.1,32.39
630000,2.02,31.61
631000,2.0,31.03
632000,2.12,32.54
633000,2.15,32.31
634000,2.1,31.74
635000,1.93,29.22
636000,1.94,29.32
637000,1.99,30.6
638000,2.06,31.78
639000,2.23,33.98
640000,2.22,33.89
641000,2.3,35.11
642000,1.95,30.5
643000,1.97,30.79
644000,1.77,28.1
645000,1.91,30.16
646000,1.94,30.7
647000,2.05,32.43
648000,2.05,32.33
649000,1.81,29.08
650000,1.81,28.48
651000,1.86,29.54
652000,1.94,31.12
653000,2.05,31.75
654000,2.15,32.76
655000,2.12,32.06
656000,1.98,31.13
657000,1.93,30.5
658000,2.01,30.95
659000,1.95,30.11
660000,1.87,29.35
661000,1.88,29.43
662000,1.86,28.61
663000,2.06,31.35
664000,1.91,30.26
665000,2.06,32.03
666000,1.97,30.78
667000,2.16,32.5
668000,2.18,32.59
669000,2.0,30.48
670000,1.84,28.58
671000,1.9,29.09
672000,2.0,30.48
673000,2.06,31.35
674000,1.98,30.97
675000,1.97,30.99
676000,2.16,33.06
677000,2.21,33.59
678000,2.57,34.61
679000,2.59,34.91
680000,2.71,36.2
681000,2.12,32.57
682000,2.0,31.09
683000,1.8,28.72
684000,1.83,28.63
685000,1.98,30.42
686000,2.02,31.4
687000,1.95,30.46
688000,1.86,29.6
689000,1.91,30.25
690000,1.82,29.31
691000,1.86,29.35
692000,1.89,29.24
693000,2.08,31.35
694000,2.04,30.95
695000,1.96,30.37
696000,1.8,28.9
697000,1.89,29.67
698000,1.89,29.19
699000,2.07,31.05
700000,2.05,30.71
701000,2.09,31.16
702000,2.19,32.93
703000,2.11,32.64
704000,2.04,32.28
705000,1.73,28.16
706000,1.82,28.86
707000,1.74,28.36
708000,2.07,32.67
709000,1.97,31.23
710000,2.16,33.65
711000,2.05,32.17
712000,1.96,31.07
713000,1.8,28.48
714000,1.62,25.93
715000,1.7,27.36
716000,1.8,28.97
717000,1.96,30.67
718000,2.05,31.55
719000,2.04,31.28
720000,2.1,32.93
721000,2.01,31.65
722000,2.13,32.82
723000,2.05,31.35
724000,2.01,30.77
725000,1.85,28.63
726000,2.01,30.14
727000,2.03,30.62
728000,2.18,33.1
729000,2.04,31.79
730000,1.99,31.12
731000,1.92,30.15
732000,2.07,32.08
733000,1.92,30.28
734000,2.08,32.32
735000,2.03,31.62
736000,2.11,32.4
737000,1.85,29.38
738000,1.88,29.83
739000,1.92,30.35
740000,2.05,31.66
741000,2.13,32.55
742000,1.89,30.04
743000,2.0,31.35
744000,2.1,32.74
745000,2.12,32.57
746000,2.08,31.84
747000,2.08,31.45
748000,2.15,32.95
749000,2.14,32.98
750000,2.0,31.63
751000,1.9,30.04
752000,1.84,29.25
753000,1.92,29.77
754000,1.78,28.16
755000,1.83,28.1
756000,1.9,28.77
757000,2.61,30.25
758000,2.59,30.33
759000,2.66,31.95
760000,1.89,30.26
761000,1.98,31.31
762000,1.9,30.04
763000,2.09,31.83
764000,2.14,32.6
765000,2.29,34.26
766000,2.12,32.28
767000,2.08,31.83
768000,1.88,28.73
769000,1.84,28.22
770000,1.84,28.57
771000,1.94,30.03
772000,1.93,29.61
773000,2.03,30.64
774000,2.04,31.25
775000,2.2,33.05
776000,2.11,31.9
777000,2.12,32.56
778000,1.98,30.6
779000,2.12,32.24
780000,1.96,30.21
781000,2.06,31.53
782000,1.97,30.54
783000,2.03,31.13
784000,1.95,30.71
785000,2.03,31.81
786000,1.91,30.59
787000,1.91,30.32
788000,2.0,31.43
789000,2.03,31.27
790000,2.15,32.46
791000,2.12,31.95
792000,2.1,32.08
793000,2.23,34.33
794000,2.15,33.4
795000,2.2,33.78
796000,2.09,32.16
797000,2.11,31.62
798000,2.04,30.87
799000,2.1,31.92
800000,2.09,31.88
801000,2.11,31.97
802000,1.97,29.94
803000,2.01,30.66
804000,1.99,30.75
805000,2.15,33.19
806000,2.32,35.15
807000,2.12,33.36
808000,2.27,35.27
809000,2.1,33.57
810000,2.23,34.35
811000,2.11,32.45
812000,2.12,32.06
813000,2.28,34.06
814000,2.17,32.96
815000,2.13,32.67
816000,2.23,33.66
817000,2.33,34.55
818000,2.19,32.76
819000,1.97,30.59
820000,2.01,30.74
821000,2.08,31.58
822000,2.23,32.96
823000,2.23,33.52
824000,2.24,33.58
825000,2.29,34.49
826000,2.25,33.69
827000,2.16,33.05
828000,1.86,28.82
829000,1.65,26.65
830000,1.74,27.73
831000,1.89,29.94
832000,2.03,31.1
833000,2.26,33.56
834000,2.15,31.85
835000,2.15,32.17
836000,2.16,32.48
837000,2.35,34.85
838000,2.41,35.61
839000,2.43,35.85
840000,2.43,36.01
841000,2.12,32.17
842000,2.16,32.49
843000,2.06,31.51
844000,2.12,32.17
845000,2.21,33.23
846000,2.17,32.49
847000,2.18,33.15
848000,2.02,31.24
849000,2.05,31.73
850000,2.08,32.31
851000,2.08,32.18
852000,2.11,32.53
853000,2.04,31.99
854000,2.05,32.45
855000,1.9,30.65
856000,2.11,32.85
857000,2.07,32.3
858000,2.15,33.04
859000,2.1,31.81
860000,2.16,32.44
861000,2.15,32.45
862000,2.27,34.07
863000,2.04,31.34
864000,1.95,30.48
865000,1.78,29.12
866000,1.89,30.57
867000,2.04,31.97
868000,2.25,34.06
869000,2.26,34.11
870000,2.46,36.17
871000,2.42,36.18
872000,2.45,36.61
873000,2.29,34.92
874000,2.17,33.05
875000,2.21,33.66
876000,2.22,34.21
877000,2.19,33.42
878000,2.2,34.07
879000,2.34,34.79
880000,2.38,35.11
881000,2.51,37.04
882000,2.19,33.34
883000,2.23,33.73
884000,1.99,30.27
885000,1.84,28.67
886000,1.78,28.1
887000,1.89,29.89
888000,2.04,31.9
889000,2.15,32.88
890000,2.06,32.15
891000,2.06,31.77
892000,2.07,31.91
893000,2.16,32.91
894000,2.25,34.18
895000,2.2,33.62
896000,2.14,33.14
897000,2.04,31.96
898000,2.14,33.3
899000,2.09,32.68
900000,2.01,30.71
901000,1.86,28.86
902000,1.82,27.85
903000,1.95,29.71
904000,1.96,29.91
905000,2.0,30.7
906000,2.01,31.1
907000,2.09,32.0
908000,2.17,33.31
909000,2.21,33.8
910000,2.19,33.57
911000,2.11,32.35
912000,2.05,31.96
913000,2.15,32.97
914000,2.17,33.0
915000,2.06,31.79
916000,2.02,31.36
917000,2.06,32.26
918000,2.15,32.26
919000,2.13,31.8
920000,1.99,30.4
921000,2.03,31.7
922000,1.91,30.25
923000,1.73,28.21
924000,1.83,29.03
925000,1.95,30.22
926000,2.18,33.16
927000,2.33,35.1
928000,2.25,34.2
929000,2.2,33.61
930000,2.23,33.76
931000,1.99,31.13
932000,2.03,31.63
933000,2.18,33.43
934000,2.28,34.38
935000,2.42,35.6
936000,2.34,34.9
937000,2.37,35.35
938000,2.34,34.82
939000,2.21,33.43
940000,2.06,31.89
941000,2.03,30.96
942000,2.21,33.08
943000,2.2,32.78
944000,2.23,33.31
945000,2.2,33.25
946000,2.19,33.52
947000,2.17,33.66
948000,2.15,33.29
949000,2.18,33.6
950000,2.16,32.78
951000,2.08,31.67
952000,2.03,31.14
953000,2.13,32.49
954000,2.2,33.25
955000,2.23,33.74
956000,2.23,34.21
957000,2.34,35.2
958000,2.39,35.66
959000,2.23,33.43
960000,2.0,30.47
