timestep,mean_reward_last_100,mean_episode_length_last_100
1000,0.35164836,10.989010989010989
2000,0.23,9.45
3000,0.29,10.24
4000,0.23,9.4
5000,0.25,9.57
6000,0.21,8.97
7000,0.33,10.42
8000,0.31,10.42
9000,0.35,11.07
10000,0.43,12.15
11000,0.35,10.69
12000,0.21,9.01
13000,0.34,10.99
14000,0.27,9.49
15000,0.29,9.9
16000,0.3,9.93
17000,0.33,10.71
18000,0.36,11.11
19000,0.31,10.32
20000,0.34,10.85
21000,0.37,11.28
22000,0.3,10.0
23000,0.34,10.84
24000,0.43,11.89
25000,0.44,11.92
26000,0.45,11.6
27000,0.42,11.13
28000,0.4,10.98
29000,0.46,11.83
30000,0.47,12.24
31000,0.37,10.67
32000,0.46,12.06
33000,0.48,11.93
34000,0.44,11.58
35000,0.45,11.79
36000,0.41,11.67
37000,0.41,11.85
38000,0.43,12.25
39000,0.38,11.5
40000,0.42,11.64
41000,0.38,10.75
42000,0.48,12.39
43000,0.35,10.64
44000,0.36,10.85
45000,0.35,10.68
46000,0.42,11.37
47000,0.49,12.62
48000,0.43,11.98
49000,0.4,11.53
50000,0.38,10.94
