timestep,mean_reward_last_100,mean_episode_length_last_100
1000,0.25252524,10.090909090909092
2000,0.37,11.35
3000,0.35,11.17
4000,0.31,10.66
5000,0.29,10.37
6000,0.14,8.31
7000,0.25,9.67
8000,0.36,11.24
9000,0.23,9.46
10000,0.35,11.29
11000,0.32,10.39
12000,0.3,10.13
13000,0.36,10.8
14000,0.26,9.59
15000,0.5,12.97
16000,0.5,12.59
17000,0.39,11.4
18000,0.39,11.39
19000,0.53,13.34
20000,0.46,12.39
21000,0.39,11.35
22000,0.43,11.59
23000,0.43,11.93
24000,0.55,13.08
25000,0.65,14.06
26000,0.52,12.89
27000,0.52,12.91
28000,0.35,10.83
29000,0.4,11.19
30000,0.52,12.8
31000,0.6,13.95
32000,0.49,12.87
33000,0.61,14.46
34000,0.8,16.35
35000,0.71,14.65
36000,0.5,12.66
37000,0.61,13.57
38000,0.65,14.13
39000,0.74,15.57
40000,0.55,12.85
41000,0.61,13.49
42000,0.68,14.42
43000,0.77,15.53
44000,0.86,16.62
45000,0.7,14.93
46000,0.75,15.59
47000,0.72,15.2
48000,0.72,15.17
49000,0.81,15.99
50000,0.96,18.07
