timestep,mean_reward_last_100,mean_episode_length_last_100
1000,0.40243903,11.939024390243903
2000,0.27,10.38
3000,0.39,11.97
4000,0.38,11.82
5000,0.28,10.07
6000,0.22,9.43
7000,0.21,9.02
8000,0.3,10.74
9000,0.32,10.61
10000,0.29,10.31
11000,0.38,11.38
12000,0.44,11.88
13000,0.43,12.21
14000,0.34,10.74
15000,0.45,12.03
16000,0.4,11.57
17000,0.37,10.95
18000,0.35,10.87
19000,0.48,12.26
20000,0.47,12.22
21000,0.48,12.47
22000,0.51,12.98
23000,0.49,12.72
24000,0.44,11.58
25000,0.52,12.72
26000,0.53,13.14
27000,0.39,10.78
28000,0.45,11.9
29000,0.45,11.81
30000,0.39,11.24
31000,0.38,10.79
32000,0.34,10.81
33000,0.35,10.83
34000,0.29,10.24
35000,0.5,12.5
36000,0.72,15.21
37000,0.42,11.71
38000,0.53,12.82
39000,0.49,12.25
40000,0.4,11.36
41000,0.37,11.05
42000,0.52,13.11
43000,0.47,12.01
44000,0.49,12.11
45000,0.52,12.79
46000,0.53,12.88
47000,0.46,12.25
48000,0.71,15.26
49000,0.68,15.21
50000,0.64,14.54
