timestep,mean_reward_last_100,mean_episode_length_last_100
1000,0.3152174,10.847826086956522
2000,0.25,9.68
3000,0.22,9.41
4000,0.33,10.44
5000,0.27,9.83
6000,0.33,10.61
7000,0.29,10.33
8000,0.28,10.14
9000,0.32,10.55
10000,0.33,11.15
11000,0.41,11.36
12000,0.3,9.88
13000,0.48,12.29
14000,0.4,11.15
15000,0.37,10.56
16000,0.44,11.41
17000,0.44,11.49
18000,0.43,11.76
19000,0.48,12.27
20000,0.45,11.66
21000,0.63,13.71
22000,0.35,10.67
23000,0.4,11.14
24000,0.48,12.42
25000,0.4,11.42
26000,0.43,12.2
27000,0.37,10.93
28000,0.52,13.02
29000,0.42,11.49
30000,0.56,13.29
31000,0.7,14.72
32000,0.71,14.7
33000,0.85,16.45
34000,0.54,13.26
35000,0.63,14.3
36000,0.62,14.22
37000,0.64,14.53
38000,0.61,13.7
39000,0.61,13.97
40000,0.73,15.46
41000,0.75,15.45
42000,0.62,13.96
43000,0.67,14.77
44000,0.72,15.3
45000,0.68,15.01
46000,0.75,15.41
47000,0.77,15.98
48000,0.7,14.85
49000,0.78,15.48
50000,0.82,15.94
