timestep,mean_reward_last_100,mean_episode_length_last_100
289000,0.39,11.71
290000,0.42,12.01
291000,0.57,14.45
292000,0.44,12.32
293000,0.45,12.54
294000,0.5,12.9
295000,0.57,13.89
296000,0.47,12.55
297000,0.41,11.96
298000,0.52,13.05
299000,0.41,11.64
300000,0.52,13.07
301000,0.46,12.36
302000,0.51,13.2
303000,0.4,11.69
304000,0.54,13.54
305000,0.58,14.03
306000,0.48,12.46
307000,0.57,13.51
308000,0.57,13.51
309000,0.46,12.06
310000,0.46,12.75
311000,0.5,13.05
312000,0.71,15.45
313000,0.69,15.78
314000,0.53,13.52
315000,0.54,13.55
316000,0.64,14.77
317000,0.66,14.45
318000,0.62,13.97
319000,0.67,14.75
320000,0.75,15.71
321000,0.53,13.08
322000,0.5,12.95
323000,0.5,13.02
324000,0.61,14.45
325000,0.67,15.31
326000,0.51,13.07
327000,0.52,13.14
328000,0.52,13.12
329000,0.63,14.49
330000,0.57,13.5
331000,0.44,12.08
332000,0.66,14.67
333000,0.82,16.84
334000,0.57,13.64
335000,0.55,13.28
336000,0.48,12.08
337000,0.6,13.57
338000,0.62,14.02
339000,0.65,14.28
340000,0.63,14.2
341000,0.7,15.24
342000,0.6,13.81
343000,0.57,13.38
344000,0.59,13.75
345000,0.63,14.17
346000,0.71,15.03
347000,0.52,13.02
348000,0.54,13.19
349000,0.6,13.74
350000,0.73,15.88
351000,0.74,16.04
352000,0.68,14.72
353000,0.76,15.74
354000,0.77,15.79
355000,0.78,16.01
356000,0.62,14.22
357000,0.7,15.02
358000,0.72,15.42
359000,0.54,13.69
360000,0.56,13.67
361000,0.68,14.58
362000,0.65,14.53
363000,0.79,16.23
364000,0.75,15.9
365000,0.61,13.93
366000,0.64,14.08
367000,0.71,15.15
368000,0.64,14.5
369000,0.7,15.21
370000,0.78,16.25
371000,0.57,13.59
372000,0.61,14.36
373000,0.73,15.81
374000,0.6,14.24
375000,0.52,13.72
376000,0.58,13.85
377000,0.61,13.5
378000,0.61,13.67
379000,0.82,16.46
380000,0.71,15.58
381000,0.78,16.6
382000,0.74,15.91
383000,0.68,15.07
384000,0.63,14.16
385000,0.62,13.96
386000,0.81,16.28
387000,0.63,14.09
388000,0.68,15.02
389000,0.65,15.11
390000,0.71,15.45
391000,0.61,14.18
392000,0.65,14.69
393000,0.78,16.05
394000,0.67,14.7
395000,0.75,15.38
396000,0.7,14.89
397000,0.69,14.76
398000,0.72,15.13
399000,0.65,14.67
400000,0.83,16.89
401000,0.84,16.73
402000,0.62,13.9
403000,0.66,14.68
404000,0.71,15.08
405000,0.7,14.92
406000,0.68,14.75
407000,0.76,15.35
408000,0.61,13.61
409000,0.57,13.02
410000,0.92,17.14
411000,0.71,14.58
412000,0.62,13.72
413000,0.64,13.94
414000,0.66,14.43
415000,0.68,14.93
416000,0.59,13.84
417000,0.75,15.39
418000,0.82,16.45
419000,0.75,15.1
420000,0.8,15.54
421000,0.75,14.96
422000,0.62,13.97
423000,0.73,15.32
424000,0.98,18.03
425000,0.87,16.78
426000,0.63,13.84
427000,0.57,13.0
428000,0.51,12.46
429000,0.55,12.66
430000,0.62,13.43
431000,0.75,15.6
432000,0.5,12.55
433000,0.56,13.33
434000,0.75,15.56
435000,0.75,15.15
436000,0.63,14.27
437000,0.85,16.96
438000,0.95,18.04
439000,0.9,17.89
440000,0.75,16.12
441000,0.74,15.62
442000,0.83,16.46
443000,0.77,15.78
444000,0.85,16.88
445000,0.7,15.24
446000,0.75,15.87
447000,0.84,16.54
448000,0.77,15.66
449000,0.73,15.04
450000,0.79,15.62
451000,0.88,16.96
452000,0.85,16.8
453000,0.89,17.55
454000,0.82,16.74
455000,0.74,15.44
456000,0.86,16.66
457000,0.72,14.82
458000,0.81,16.16
459000,0.95,18.16
460000,0.93,17.89
461000,0.84,16.79
462000,0.94,18.12
463000,0.97,18.06
464000,0.94,17.85
465000,0.83,16.38
466000,0.8,15.86
467000,0.75,15.45
468000,0.81,16.25
469000,0.86,16.81
470000,0.87,17.07
471000,0.95,18.0
472000,1.09,19.75
473000,0.97,18.15
474000,0.8,15.63
475000,0.78,15.99
476000,0.64,14.28
477000,0.55,13.02
478000,0.6,13.44
479000,0.71,14.9
480000,0.65,13.85
481000,0.84,16.49
482000,1.07,19.43
483000,0.88,16.89
484000,0.8,15.97
485000,0.96,17.92
486000,0.73,15.19
487000,0.93,17.6
488000,1.08,19.14
489000,0.89,17.19
490000,0.81,15.63
491000,0.95,17.53
492000,1.02,18.9
493000,0.83,16.49
494000,0.99,18.13
495000,1.16,20.19
496000,1.07,19.28
497000,0.94,17.72
498000,0.83,16.81
499000,0.88,17.02
500000,0.95,17.66
501000,0.86,16.52
502000,0.86,16.53
503000,0.93,17.72
504000,0.82,16.24
505000,0.66,14.27
506000,0.73,14.99
507000,0.73,15.49
508000,0.53,12.82
509000,0.63,13.98
510000,0.67,14.89
511000,0.77,15.9
512000,0.87,16.97
513000,0.92,17.49
514000,0.86,17.04
515000,0.85,16.97
516000,0.81,15.9
517000,0.92,17.45
518000,1.0,18.93
519000,0.86,16.96
520000,0.96,17.94
521000,0.72,15.46
522000,0.77,15.86
523000,0.87,16.98
524000,1.05,19.13
525000,0.84,16.5
526000,0.86,16.82
527000,1.0,18.55
528000,0.93,17.74
529000,0.83,16.76
530000,0.55,13.23
531000,0.58,13.73
532000,0.7,15.12
533000,0.8,15.66
534000,0.79,15.77
535000,0.79,16.16
536000,0.8,16.17
537000,0.91,17.8
538000,1.12,20.19
539000,1.05,19.19
540000,1.05,18.99
541000,1.05,18.91
542000,0.92,17.37
543000,0.85,16.76
544000,0.88,16.71
545000,0.91,17.15
546000,0.87,16.75
547000,0.86,16.65
548000,0.82,15.78
549000,0.97,17.7
550000,0.98,18.13
551000,0.95,17.56
552000,0.97,17.87
553000,0.95,17.87
554000,0.72,14.64
555000,0.9,17.17
556000,0.93,17.75
557000,0.91,17.58
558000,0.84,16.87
559000,1.03,19.2
560000,1.0,18.82
561000,1.02,18.86
562000,0.85,16.79
563000,0.83,16.52
564000,0.97,18.16
565000,0.93,17.53
566000,0.89,17.32
567000,0.83,16.59
568000,0.76,15.47
569000,0.84,16.42
570000,0.97,17.86
571000,0.86,16.77
572000,0.85,16.61
573000,0.9,17.36
574000,1.0,18.68
575000,1.08,19.88
576000,0.91,17.59
577000,0.95,17.69
578000,0.97,17.99
579000,0.88,16.91
580000,0.82,16.42
581000,0.76,15.71
582000,0.92,17.71
583000,0.97,18.4
584000,0.89,17.5
585000,0.8,16.26
586000,0.88,17.36
587000,1.01,18.59
588000,0.97,17.96
589000,0.88,17.14
590000,0.71,14.9
591000,0.95,17.78
592000,0.99,18.37
593000,0.87,16.86
594000,0.9,17.82
595000,0.93,18.21
596000,0.83,16.83
597000,0.89,17.54
598000,0.92,17.88
599000,0.83,16.41
600000,0.89,17.23
601000,0.95,18.26
602000,0.77,15.9
603000,0.82,16.57
604000,0.82,16.59
605000,0.75,15.69
606000,0.92,17.57
607000,0.85,16.78
608000,0.74,15.21
609000,0.78,15.69
610000,0.85,16.75
611000,0.81,16.24
612000,0.84,16.81
613000,1.0,19.06
614000,1.07,19.87
615000,1.01,18.6
616000,0.99,18.4
617000,1.02,19.2
618000,0.95,18.11
619000,0.9,17.7
620000,0.96,18.4
621000,0.89,17.33
622000,0.73,15.56
623000,0.92,17.88
624000,0.84,16.58
625000,0.86,17.04
626000,0.97,18.41
627000,0.79,16.05
628000,0.9,17.51
629000,0.86,16.91
630000,0.76,15.43
631000,0.86,16.56
632000,0.84,16.76
633000,0.83,16.74
634000,0.92,17.65
635000,1.03,18.99
636000,1.06,19.46
637000,0.95,18.22
638000,0.81,16.69
639000,0.76,15.93
640000,0.76,15.72
641000,0.85,16.89
642000,0.86,17.1
643000,0.87,17.03
644000,0.88,17.36
645000,0.86,17.15
646000,0.79,16.24
647000,0.95,18.66
648000,1.09,20.43
649000,1.08,20.33
650000,1.11,20.99
651000,0.81,16.59
652000,0.8,16.35
653000,0.8,16.77
654000,0.61,14.71
655000,0.72,15.55
656000,0.81,16.78
657000,0.72,15.85
658000,0.71,15.79
659000,0.68,15.44
660000,0.47,12.79
661000,0.58,14.24
662000,0.7,15.91
663000,0.63,14.62
664000,0.69,15.41
665000,0.68,15.56
666000,0.46,12.6
667000,0.62,14.72
668000,0.86,17.54
669000,0.85,17.43
670000,0.77,16.43
671000,0.77,16.42
672000,0.7,15.13
673000,0.82,16.84
674000,1.01,19.35
675000,0.81,16.58
676000,0.84,16.73
677000,0.75,15.61
678000,0.81,16.56
679000,0.88,17.66
680000,0.72,15.39
681000,0.87,16.95
682000,0.69,14.33
683000,0.87,17.25
684000,0.85,17.38
685000,0.78,16.09
686000,0.83,16.85
687000,0.85,17.05
688000,0.83,16.6
689000,0.93,18.19
690000,0.94,18.19
691000,0.92,17.89
692000,0.91,17.97
693000,0.77,16.34
694000,0.8,16.3
695000,0.71,15.27
696000,0.81,16.2
697000,0.92,17.75
698000,0.84,16.98
699000,0.79,16.36
700000,0.72,15.8
701000,0.77,16.15
702000,0.65,14.45
703000,0.82,16.46
704000,0.9,17.41
705000,0.91,17.43
706000,0.87,17.16
707000,0.89,17.48
708000,0.92,17.63
709000,0.89,17.46
710000,0.81,16.91
711000,0.76,15.79
712000,0.88,17.24
713000,0.91,18.12
714000,0.91,17.55
715000,0.95,18.29
716000,0.52,12.91
717000,0.72,15.2
718000,0.65,14.66
719000,0.72,15.52
720000,0.73,15.42
721000,0.86,17.6
722000,0.72,15.35
723000,0.84,16.66
724000,0.76,15.46
725000,0.71,15.37
726000,0.77,16.18
727000,0.73,14.96
728000,0.75,15.56
729000,0.82,16.47
730000,0.76,15.53
731000,0.87,17.45
732000,1.02,19.89
733000,0.98,18.69
734000,0.83,16.42
735000,0.8,15.53
736000,0.84,16.59
737000,0.93,17.96
738000,0.85,16.77
739000,0.83,16.38
740000,0.97,18.46
741000,0.94,18.27
742000,0.88,17.63
743000,1.0,18.89
744000,0.96,18.17
745000,0.9,17.52
746000,0.87,16.97
747000,0.96,18.18
748000,1.04,19.5
749000,1.1,20.04
750000,0.98,18.53
751000,0.83,16.36
752000,0.92,17.45
753000,0.99,18.07
754000,0.79,15.48
755000,0.73,15.13
756000,0.87,16.65
757000,1.05,18.9
758000,0.99,18.46
759000,0.89,17.33
760000,0.84,16.49
761000,0.98,18.43
762000,1.07,19.72
763000,0.81,16.52
764000,0.8,16.26
765000,0.87,17.06
766000,0.97,17.85
767000,0.81,16.48
768000,0.77,15.54
769000,0.96,17.76
770000,1.02,18.52
771000,0.83,16.18
772000,0.79,15.91
773000,0.81,16.3
774000,0.85,16.57
775000,0.85,16.39
776000,0.95,18.01
777000,0.94,17.98
778000,0.86,16.85
779000,0.97,18.38
780000,0.89,17.33
781000,0.86,17.13
782000,0.88,17.17
783000,0.86,16.6
784000,0.92,17.66
785000,0.79,15.99
786000,0.75,15.46
787000,0.73,15.22
788000,0.86,16.96
789000,0.83,16.9
790000,0.76,15.6
791000,0.85,16.66
792000,0.85,16.4
793000,0.79,15.9
794000,0.81,15.97
795000,0.76,15.14
796000,0.91,17.57
797000,0.82,16.29
798000,0.71,14.84
799000,0.68,14.28
800000,0.66,13.91
801000,0.79,15.85
802000,0.76,15.39
803000,0.78,15.5
804000,0.94,17.74
805000,0.87,16.64
806000,0.87,16.68
807000,0.93,17.47
808000,0.78,15.76
809000,0.76,15.59
810000,0.78,15.5
811000,0.88,16.9
812000,0.91,17.22
