timestep,mean_reward_last_100,mean_episode_length_last_100,total_episodes
1000,0.5555556,13.680555555555555,72
2000,0.32,10.89,169
3000,0.3,10.61,263
4000,0.23,9.28,374
5000,0.38,11.65,456
6000,0.42,12.55,538
7000,0.33,11.21,632
8000,0.27,10.15,727
9000,0.34,10.88,819
10000,0.34,10.71,913
11000,0.26,9.78,1015
12000,0.26,9.95,1116
13000,0.33,10.93,1209
14000,0.31,10.57,1300
15000,0.37,11.22,1389
16000,0.43,12.2,1472
17000,0.32,10.62,1569
18000,0.36,11.29,1662
19000,0.3,10.43,1759
20000,0.33,10.73,1853
21000,0.32,10.66,1946
22000,0.23,9.23,2056
23000,0.26,9.98,2157
24000,0.22,9.22,2261
25000,0.34,10.94,2352
26000,0.34,10.78,2442
27000,0.33,10.88,2532
28000,0.42,11.97,2618
29000,0.27,9.82,2720
30000,0.4,11.69,2804
31000,0.19,8.92,2914
32000,0.33,10.74,3005
33000,0.35,10.89,3099
34000,0.35,11.41,3186
35000,0.36,11.32,3276
36000,0.21,9.13,3389
37000,0.37,11.46,3472
38000,0.35,11.05,3563
39000,0.35,10.87,3656
40000,0.39,11.45,3743
41000,0.33,10.91,3833
42000,0.36,11.28,3927
43000,0.2,8.98,4032
44000,0.39,11.57,4122
45000,0.24,9.61,4226
46000,0.29,9.84,4329
47000,0.28,9.99,4425
48000,0.26,9.42,4533
49000,0.29,10.37,4628
50000,0.27,10.07,4726
51000,0.25,9.57,4830
52000,0.3,9.95,4931
53000,0.38,11.59,5016
54000,0.32,10.63,5111
55000,0.23,9.4,5217
56000,0.31,10.32,5315
57000,0.35,11.15,5401
58000,0.41,11.99,5486
59000,0.48,12.65,5560
60000,0.37,11.33,5652
61000,0.52,12.99,5723
62000,0.41,11.89,5809
63000,0.47,12.19,5888
64000,0.24,9.63,5991
65000,0.35,11.01,6079
66000,0.41,11.74,6164
67000,0.42,11.97,6251
68000,0.57,14.08,6317
69000,0.63,14.91,6387
70000,0.56,13.69,6468
71000,0.59,13.98,6535
72000,0.54,13.63,6618
73000,0.5,12.59,6694
74000,0.61,14.39,6759
75000,0.59,14.15,6833
76000,0.63,14.84,6898
77000,0.6,14.24,6972
78000,0.55,13.77,7037
79000,0.72,15.95,7103
80000,0.71,15.75,7172
81000,0.45,12.43,7253
82000,0.56,13.82,7319
83000,0.7,15.54,7379
84000,0.56,13.46,7458
