timestep,mean_reward_last_100,mean_episode_length_last_100
1000,0.32222223,10.933333333333334
2000,0.34,10.44
3000,0.38,11.59
4000,0.32,10.52
5000,0.36,10.94
6000,0.33,10.69
7000,0.37,11.42
8000,0.26,10.0
9000,0.2,9.14
10000,0.26,10.06
11000,0.32,10.83
12000,0.42,12.38
13000,0.25,9.63
14000,0.37,11.08
15000,0.3,10.33
16000,0.29,10.62
17000,0.33,10.76
18000,0.27,9.99
19000,0.25,9.96
20000,0.28,10.12
21000,0.33,10.96
22000,0.28,10.12
23000,0.34,10.85
24000,0.23,9.48
25000,0.36,11.56
26000,0.26,10.1
27000,0.21,9.22
28000,0.36,11.42
29000,0.39,11.83
30000,0.55,14.21
31000,0.27,10.11
32000,0.32,10.61
33000,0.42,12.14
34000,0.35,11.04
35000,0.21,8.83
36000,0.36,11.08
37000,0.3,10.19
38000,0.27,9.98
39000,0.34,11.12
40000,0.28,9.98
41000,0.35,11.29
42000,0.32,10.69
43000,0.32,10.17
44000,0.29,10.26
45000,0.35,11.15
46000,0.39,11.25
47000,0.2,9.03
48000,0.25,9.82
49000,0.25,9.83
50000,0.32,10.91
51000,0.33,10.64
52000,0.38,11.52
53000,0.3,10.22
54000,0.38,11.62
55000,0.37,11.34
56000,0.4,11.89
57000,0.49,13.07
58000,0.2,9.13
59000,0.19,8.88
60000,0.31,10.69
61000,0.3,10.35
62000,0.29,10.22
63000,0.19,8.79
64000,0.37,11.42
65000,0.24,9.51
66000,0.35,10.94
67000,0.2,9.12
68000,0.42,12.18
69000,0.29,10.32
70000,0.3,10.32
71000,0.32,10.72
72000,0.45,12.35
73000,0.33,10.82
74000,0.27,10.01
75000,0.32,10.73
76000,0.29,10.55
77000,0.32,10.64
78000,0.36,10.98
79000,0.25,9.48
80000,0.42,12.09
81000,0.34,10.67
82000,0.38,11.34
83000,0.26,9.74
84000,0.3,10.34
85000,0.44,12.46
86000,0.32,10.68
87000,0.31,10.74
88000,0.22,9.45
89000,0.3,10.37
90000,0.36,11.1
91000,0.16,8.32
92000,0.27,10.12
93000,0.34,10.88
94000,0.26,9.85
95000,0.44,12.21
96000,0.28,10.25
97000,0.2,9.11
98000,0.31,10.66
99000,0.3,10.71
100000,0.29,10.33
101000,0.31,10.26
102000,0.29,10.31
103000,0.28,9.89
104000,0.29,10.44
105000,0.3,10.55
106000,0.32,10.84
107000,0.36,11.19
108000,0.26,9.61
109000,0.31,10.24
110000,0.24,9.57
111000,0.31,10.7
112000,0.28,9.93
113000,0.27,9.99
114000,0.34,10.89
115000,0.38,11.38
116000,0.35,11.34
117000,0.3,10.4
118000,0.36,11.0
119000,0.38,11.35
120000,0.31,10.75
121000,0.32,10.39
122000,0.21,9.14
123000,0.29,10.36
124000,0.25,9.5
125000,0.33,10.82
126000,0.27,9.74
127000,0.29,10.33
128000,0.37,11.35
129000,0.25,9.65
130000,0.26,9.74
131000,0.26,9.72
132000,0.39,11.38
133000,0.33,10.71
134000,0.32,10.62
135000,0.31,10.39
136000,0.44,12.22
137000,0.36,11.24
138000,0.42,12.05
139000,0.41,11.95
140000,0.48,12.95
141000,0.27,9.72
142000,0.31,10.85
143000,0.27,9.93
144000,0.29,10.31
145000,0.39,11.56
146000,0.26,9.68
147000,0.44,12.36
148000,0.51,12.84
149000,0.24,9.32
150000,0.25,9.66
151000,0.37,11.45
152000,0.32,10.73
153000,0.38,11.53
154000,0.42,12.37
155000,0.33,10.56
156000,0.31,10.43
157000,0.45,12.19
158000,0.26,9.77
159000,0.36,10.94
160000,0.26,10.09
161000,0.32,10.37
162000,0.22,9.12
163000,0.3,10.52
164000,0.27,10.06
165000,0.45,12.15
166000,0.22,8.97
167000,0.28,10.0
168000,0.31,10.42
169000,0.34,10.78
170000,0.27,9.76
171000,0.25,9.58
172000,0.38,11.57
173000,0.22,9.15
174000,0.33,10.84
175000,0.27,10.01
176000,0.36,11.12
177000,0.41,12.19
178000,0.5,13.12
179000,0.37,11.15
180000,0.25,9.57
181000,0.25,9.85
