timestep,mean_reward_last_100,mean_episode_length_last_100
1000,0.28723404,10.457446808510639
2000,0.37,11.29
3000,0.36,11.19
4000,0.37,11.45
5000,0.2,9.29
6000,0.29,10.12
7000,0.15,8.25
8000,0.22,9.61
9000,0.32,10.67
10000,0.37,11.51
11000,0.32,10.41
12000,0.37,10.94
13000,0.32,10.43
14000,0.22,9.38
15000,0.3,10.26
16000,0.25,9.61
17000,0.26,9.62
18000,0.25,9.52
19000,0.29,10.15
20000,0.32,10.43
21000,0.3,9.92
22000,0.4,11.7
23000,0.45,12.1
24000,0.45,11.94
25000,0.37,10.99
26000,0.4,11.56
27000,0.36,10.6
28000,0.4,11.33
29000,0.39,11.34
30000,0.4,11.59
31000,0.39,11.33
32000,0.33,10.79
33000,0.36,11.14
34000,0.39,11.32
35000,0.44,11.83
36000,0.32,10.09
37000,0.38,11.03
38000,0.35,10.62
39000,0.36,10.86
40000,0.44,12.04
41000,0.41,11.03
42000,0.42,11.7
43000,0.4,11.31
44000,0.35,10.76
45000,0.36,10.61
46000,0.41,11.28
47000,0.33,10.5
48000,0.45,12.24
49000,0.42,11.5
50000,0.46,12.44
