timestep,mean_reward_last_100,mean_episode_length_last_100,total_episodes
228000,1.62,26.91,13987
229000,1.57,26.64,14017
230000,1.78,28.94,14049
231000,1.99,31.67,14082
232000,1.93,30.54,14114
233000,1.82,28.9,14151
234000,1.73,27.81,14189
235000,1.47,25.18,14230
236000,1.56,26.6,14263
237000,1.54,25.82,14303
238000,1.73,27.58,14339
239000,1.81,28.23,14374
240000,1.82,28.66,14408
241000,1.88,29.78,14441
242000,1.76,28.8,14476
243000,1.65,27.64,14516
244000,1.67,27.45,14550
245000,1.69,27.67,14587
246000,1.81,28.57,14621
247000,1.76,28.11,14658
248000,1.77,28.04,14693
249000,1.85,29.11,14726
250000,1.79,29.03,14763
251000,1.59,26.45,14805
252000,1.64,27.2,14840
253000,1.72,27.75,14872
254000,1.88,29.73,14906
255000,1.96,30.09,14938
256000,2.09,31.97,14969
257000,1.81,28.74,15009
258000,1.67,27.08,15047
259000,1.57,25.98,15084
260000,1.77,28.24,15116
261000,1.86,29.6,15148
262000,1.94,30.42,15182
263000,1.89,30.36,15215
264000,1.89,30.24,15246
265000,1.96,31.1,15279
266000,1.87,30.22,15314
267000,1.69,28.28,15351
268000,1.63,27.03,15389
269000,1.61,26.77,15425
270000,1.83,29.46,15453
271000,1.69,27.53,15497
272000,1.6,26.29,15534
273000,1.5,24.59,15572
274000,1.69,27.0,15609
275000,1.7,27.23,15645
276000,1.71,27.77,15679
277000,1.84,29.27,15712
278000,1.75,27.71,15752
279000,1.7,27.05,15788
280000,1.81,28.18,15820
281000,1.84,29.01,15857
282000,1.66,26.46,15899
283000,1.61,26.54,15931
284000,1.66,26.6,15966
285000,1.71,27.51,16007
286000,1.72,27.47,16040
287000,1.67,26.92,16080
288000,1.74,28.03,16114
289000,1.63,27.41,16148
290000,1.88,30.89,16176
291000,1.64,27.66,16220
292000,1.59,26.53,16258
293000,1.61,26.67,16292
294000,1.7,27.55,16331
295000,1.68,27.33,16366
296000,1.81,28.77,16397
297000,1.93,30.36,16429
298000,1.93,30.61,16463
299000,1.99,31.01,16494
300000,1.9,29.96,16529
301000,1.8,28.88,16565
302000,1.73,28.23,16600
303000,1.76,28.39,16635
304000,1.85,29.33,16667
305000,1.78,28.48,16705
306000,1.77,28.69,16738
307000,1.77,28.11,16775
308000,1.7,27.08,16811
309000,1.82,28.62,16841
310000,1.86,29.02,16880
311000,1.93,30.41,16911
312000,1.78,28.25,16945
313000,1.82,29.35,16981
314000,1.66,27.59,17019
315000,1.47,25.33,17062
316000,1.56,25.78,17097
317000,1.61,26.11,17135
318000,1.71,27.36,17170
319000,1.84,28.79,17203
320000,1.85,29.04,17237
321000,1.8,28.75,17275
322000,1.65,26.71,17311
323000,1.82,28.94,17341
324000,1.73,27.93,17381
325000,1.76,29.02,17413
326000,1.77,29.14,17446
327000,1.84,30.44,17478
328000,1.83,29.74,17514
329000,1.75,28.53,17549
330000,1.79,28.68,17584
331000,1.82,28.98,17618
332000,1.81,29.13,17652
333000,1.83,29.2,17685
334000,1.81,29.06,17720
335000,1.84,29.27,17755
336000,1.84,29.47,17786
337000,1.83,29.58,17822
338000,1.86,29.59,17857
339000,1.79,28.46,17894
340000,1.76,28.01,17927
341000,1.78,28.55,17960
342000,1.91,30.79,17990
343000,1.93,31.11,18025
344000,1.95,30.92,18056
345000,1.99,31.02,18087
346000,2.06,31.81,18118
347000,2.11,32.83,18148
348000,2.11,32.77,18180
349000,2.1,32.66,18209
350000,2.2,33.46,18239
351000,2.03,31.42,18270
352000,2.02,31.44,18304
353000,1.93,30.05,18338
354000,2.03,31.25,18368
355000,1.83,28.52,18409
356000,1.77,27.96,18443
357000,1.68,27.53,18476
358000,1.86,30.26,18505
